transect,year,transect_start_lat,transect_start_long,transect_end_lat,transect_end_long,meter,cactus_id,cactus_number,species,distance_meters,x,y,z,primary,secondary,tertiary,quaternary,health_index,lat,long,species_letter
6,2018,34.78161,115.66383,34.78075,115.664,60,59e,59,Cylindropuntia echinocarpa,2.34,0.5,0.5,0.5,1,3,3,6,5,34.78119,115.66393,e
6,2018,34.78161,115.66383,34.78075,115.664,65,60e,60,Cylindropuntia echinocarpa,3.7,0.7,0.6,0.5,3,3,2,6,2,34.78106,115.66391,e
6,2018,34.78161,115.66383,34.78075,115.664,70,61e,61,Cylindropuntia echinocarpa,4.03,0.2,0.25,0.4,1,1,2,5,5,34.78103,115.66398,e
6,2018,34.78161,115.66383,34.78075,115.664,75,62e,62,Cylindropuntia echinocarpa,4.8,0.15,0.2,0.3,1,3,2,4,4,34.78098,115.66392,e
6,2018,34.78161,115.66383,34.78075,115.664,80,63e,63,Cylindropuntia echinocarpa,1.85,0.2,0.2,0.5,1,2,2,6,2,34.78091,115.66397,e
6,2018,34.78161,115.66383,34.78075,115.664,85,64e,64,Cylindropuntia echinocarpa,1.8,0.3,0.4,0.45,1,2,2,3,4,34.78088,115.66401,e
6,2018,34.78161,115.66383,34.78075,115.664,90,65e,65,Cylindropuntia echinocarpa,2.54,0.4,0.5,0.6,1,2,2,5,4,34.78086,115.66402,e
6,2018,34.78161,115.66383,34.78075,115.664,95,66e,66,Cylindropuntia echinocarpa,4.61,0.3,0.4,0.55,1,2,4,3,4,34.78081,115.66404,e
6,2018,34.78161,115.66383,34.78075,115.664,100,67e,67,Cylindropuntia echinocarpa,4.03,0.3,0.4,0.3,1,3,2,4,5,34.78074,115.66405,e
7,2018,34.78166,115.66402,34.78078,115.66428,15,68e,68,Cylindropuntia echinocarpa,1.9,0.7,0.8,0.7,2,3,2,4,4,34.78154,115.6641,e
7,2018,34.78166,115.66402,34.78078,115.66428,30,69e,69,Cylindropuntia echinocarpa,1.3,0.45,0.7,0.7,1,3,6,4,3,34.78139,115.66411,e
7,2018,34.78166,115.66402,34.78078,115.66428,35,70e,70,Cylindropuntia echinocarpa,8.6,0.5,0.6,0.9,2,3,4,3,4,34.78136,115.66423,e
7,2018,34.78166,115.66402,34.78078,115.66428,40,71e,71,Cylindropuntia echinocarpa,3.25,0.1,0.15,0.2,1,3,2,0,4,34.78129,115.66416,e
7,2018,34.78166,115.66402,34.78078,115.66428,45,72e,72,Cylindropuntia echinocarpa,0.66,0.5,0.5,0.6,1,2,4,5,4,34.78127,115.66414,e
7,2018,34.78166,115.66402,34.78078,115.66428,60,73e,73,Cylindropuntia echinocarpa,5.9,0.6,0.9,1,2,3,3,3,4,34.78111,115.66413,e
7,2018,34.78166,115.66402,34.78078,115.66428,65,74e,74,Cylindropuntia echinocarpa,6.63,0.6,0.6,0.7,1,2,2,7,5,34.78111,115.66425,e
7,2018,34.78166,115.66402,34.78078,115.66428,70,75e,75,Cylindropuntia echinocarpa,7.47,0.6,0.7,0.75,1,2,2,4,4,34.78103,115.66415,e
7,2018,34.78166,115.66402,34.78078,115.66428,75,76e,76,Cylindropuntia echinocarpa,4.21,0.4,0.5,0.6,2,3,2,0,1,34.781,115.66429,e
7,2018,34.78166,115.66402,34.78078,115.66428,80,77e,77,Cylindropuntia echinocarpa,5.45,0.5,0.8,0.8,1,2,4,7,3,34.78092,115.66423,e
7,2018,34.78166,115.66402,34.78078,115.66428,90,78e,78,Cylindropuntia echinocarpa,5.53,0.2,0.2,0.5,1,3,3,1,3,34.78085,115.66423,e
7,2018,34.78166,115.66402,34.78078,115.66428,95,79e,79,Cylindropuntia echinocarpa,4.2,0.2,0.3,0.5,1,2,2,4,4,34.78085,115.66432,e
7,2018,34.78166,115.66402,34.78078,115.66428,100,80e,80,Cylindropuntia echinocarpa,4.5,0.5,0.6,0.6,1,2,3,5,4,34.78082,115.66434,e
8,2018,34.7817,115.66422,34.78083,115.66454,0,81e,81,Cylindropuntia echinocarpa,10,0.4,0.55,0.9,1,3,3,2,5,34.78174,115.66431,e
8,2018,34.7817,115.66422,34.78083,115.66454,15,82e,82,Cylindropuntia echinocarpa,8.2,0.3,0.45,0.4,1,3,3,4,5,34.78157,115.66436,e
8,2018,34.7817,115.66422,34.78083,115.66454,20,83e,83,Cylindropuntia echinocarpa,3.51,0.05,0.1,0.2,1,2,3,5,4,34.78152,115.66434,e
8,2018,34.7817,115.66422,34.78083,115.66454,25,84e,84,Cylindropuntia echinocarpa,3.81,0.15,0.15,0.25,1,3,3,1,5,34.78174,115.66431,e
8,2018,34.7817,115.66422,34.78083,115.66454,30,85e,85,Cylindropuntia echinocarpa,9.1,0.2,0.3,0.4,1,3,3,8,4,34.78141,115.66441,e
8,2018,34.7817,115.66422,34.78083,115.66454,35,86e,86,Cylindropuntia echinocarpa,4.82,0.55,0.6,0.7,2,4,4,3,4,34.78135,115.66438,e
8,2018,34.7817,115.66422,34.78083,115.66454,40,87e,87,Cylindropuntia echinocarpa,3.76,0.05,0.1,0.2,1,4,1,0,5,34.78134,115.66438,e
8,2018,34.7817,115.66422,34.78083,115.66454,45,88e,88,Cylindropuntia echinocarpa,6.71,0.25,0.3,0.3,1,2,3,3,5,34.78126,115.66444,e
8,2018,34.7817,115.66422,34.78083,115.66454,50,89e,89,Cylindropuntia echinocarpa,2.66,0.1,0.15,0.3,1,2,3,0,5,34.78125,115.66441,e
8,2018,34.7817,115.66422,34.78083,115.66454,55,90e,90,Cylindropuntia echinocarpa,9.2,0.3,0.4,0.4,2,7,3,1,4,34.78121,115.66451,e
8,2018,34.7817,115.66422,34.78083,115.66454,60,91e,91,Cylindropuntia echinocarpa,2.17,0.4,0.6,0.4,2,3,4,3,5,34.78116,115.66441,e
8,2018,34.7817,115.66422,34.78083,115.66454,65,92e,92,Cylindropuntia echinocarpa,6.72,0.4,0.6,0.6,2,3,4,7,5,34.78113,115.66437,e
8,2018,34.7817,115.66422,34.78083,115.66454,85,93e,93,Cylindropuntia echinocarpa,3.82,0.25,0.35,0.6,1,2,3,2,5,34.78094,115.66456,e
8,2018,34.7817,115.66422,34.78083,115.66454,100,94e,94,Cylindropuntia echinocarpa,7.2,0.8,1,0.5,3,2,4,6,5,34.78074,115.66457,e
9,2018,34.78171,115.66435,34.78148,115.66444,0,95e,95,Cylindropuntia echinocarpa,1.71,0.3,0.4,0.7,1,7,5,4,5,34.78171,115.66438,e
9,2018,34.78171,115.66435,34.78148,115.66444,5,96e,96,Cylindropuntia echinocarpa,2.54,0.2,0.5,0.4,2,3,2,5,3,34.78166,115.66438,e
9,2018,34.78171,115.66435,34.78148,115.66444,15,97e,97,Cylindropuntia echinocarpa,3.81,0.35,0.4,0.5,1,3,3,3,4,34.78154,115.66438,e
9,2018,34.78171,115.66435,34.78148,115.66444,25,98e,98,Cylindropuntia echinocarpa,0,0.3,0.4,0.5,1,3,3,4,4,34.78148,115.66444,e
