"","Hour of Day Ending at LST","Total Solar Rad  ly"," Wind Ave mph"," Wind V Dir Deg"," Wind Max mph","Air Temperature Mean Deg F","Soil Temperature Mean Deg F","Relative Humidity Mean Perent"," Dew Point Deg F"," Wet Bulb Deg F"," Baro Press in Hg"," Total Preip inhes","day","month","year"
"611","2 am","0.0","13.4","312","23.2","46.5","61.2","42","25","37","25.43","0.00",12,"04","19"
"711","3 am","0.0","10.8","310","28.9","46.7","60.9","45","26","37","25.44","0.00",12,"04","19"
"811","4 am","0.0","9.9","308","26.8","46.2","60.5","50","29","38","25.44","0.00",12,"04","19"
"911","5 am","0.0","13.6","310","29.5","45.5","60.1","52","29","38","25.44","0.00",12,"04","19"
"1011","6 am","0.9","14.6","312","31.9","45.1","59.8","53","29","38","25.45","0.00",12,"04","19"
"1111","7 am","5.8","13.7","315","31.6","45.1","59.5","54","30","38","25.46","0.00",12,"04","19"
"1211","8 am","22.0","15.1","312","38.1","45.9","59.1","52","29","38","25.47","0.00",12,"04","19"
"1311","9 am","21.0","20.8","302","39.6","46.6","58.8","46","27","38","25.47","0.00",12,"04","19"
"1411","10 am","35.0","17.0","308","32.7","48.2","58.6","44","27","39","25.49","0.00",12,"04","19"
"1511","11 am","70.9","12.3","305","26.2","52.0","58.4","39","28","41","25.49","0.00",12,"04","19"
"1611","12 pm","80.1","7.9","289","21.8","54.9","58.4","35","28","42","25.49","0.00",12,"04","19"
"1711","1 pm","84.5","10.8","270","31.8","55.6","58.7","34","27","42","25.49","0.00",12,"04","19"
"1811","2 pm","66.5","9.0","264","27.3","56.6","59.3","29","25","42","25.49","0.00",12,"04","19"
"1911","3 pm","52.7","8.7","272","27.0","56.9","60.2","27","23","42","25.48","0.00",12,"04","19"
"2011","4 pm","46.6","8.2","285","24.7","57.7","61.2","26","23","42","25.48","0.00",12,"04","19"
"2111","5 pm","25.7","6.7","246","24.3","56.7","62.2","28","24","42","25.49","0.00",12,"04","19"
"2211","6 pm","5.5","5.2","247","23.7","55.6","63.0","25","20","40","25.49","0.00",12,"04","19"
"2311","7 pm","0.2","5.7","232","22.3","54.8","63.6","21","16","39","25.50","0.00",12,"04","19"
"2411","8 pm","0.0","4.7","201","18.1","53.8","63.9","23","17","38","25.52","0.00",12,"04","19"
"2511","9 pm","0.0","3.4","69","10.5","52.0","64.0","28","20","38","25.55","0.00",12,"04","19"
"2611","10 pm","0.0","2.6","76","8.0","49.8","63.8","30","19","37","25.58","0.00",12,"04","19"
"2711","11 pm","0.0","2.2","285","6.7","47.7","63.5","34","20","36","25.58","0.00",12,"04","19"
"2811","12 am","0.0","2.2","300","6.6","45.6","63.1","39","22","35","25.59","0.00",12,"04","19"
"512","1 am","0.0","2.8","294","6.6","46.8","62.6","39","23","36","25.60","0.00",13,"04","19"
"612","2 am","0.0","2.3","295","6.2","45.3","62.0","43","24","36","25.61","0.00",13,"04","19"
"712","3 am","0.0","2.6","300","6.1","44.9","61.5","44","24","36","25.62","0.00",13,"04","19"
"812","4 am","0.0","3.4","296","7.4","44.9","60.9","46","25","36","25.63","0.00",13,"04","19"
"912","5 am","0.0","2.8","301","5.8","45.1","60.4","48","26","37","25.64","0.00",13,"04","19"
"1012","6 am","2.7","2.2","16","14.2","48.2","59.8","42","26","38","25.66","0.00",13,"04","19"
"1112","7 am","19.3","3.3","144","13.2","53.0","59.2","36","27","41","25.69","0.00",13,"04","19"
"1212","8 am","37.8","4.2","95","15.0","54.4","58.7","32","25","41","25.71","0.00",13,"04","19"
"1312","9 am","54.7","6.9","70","15.9","55.7","58.4","28","23","41","25.72","0.00",13,"04","19"
"1412","10 am","68.2","7.1","321","18.5","58.2","58.1","26","23","42","25.73","0.00",13,"04","19"
"1512","11 am","77.2","4.6","201","12.4","61.0","58.0","22","22","43","25.74","0.00",13,"04","19"
"1612","12 pm","80.9","3.9","144","11.5","63.1","58.2","20","21","44","25.73","0.00",13,"04","19"
"1712","1 pm","79.1","4.4","176","18.0","64.6","58.8","19","22","45","25.71","0.00",13,"04","19"
"1812","2 pm","72.8","5.6","132","18.6","65.1","59.7","20","23","45","25.70","0.00",13,"04","19"
"1912","3 pm","60.7","4.3","220","11.3","66.8","60.9","19","23","46","25.69","0.00",13,"04","19"
"2012","4 pm","45.3","3.4","188","11.3","67.7","62.1","18","22","46","25.68","0.00",13,"04","19"
"2112","5 pm","27.6","4.3","258","15.9","66.3","63.4","17","20","45","25.68","0.00",13,"04","19"
"2212","6 pm","5.7","10.1","305","17.7","61.4","64.5","19","18","42","25.68","0.00",13,"04","19"
"2312","7 pm","0.2","9.3","306","17.5","59.0","65.3","17","14","40","25.68","0.00",13,"04","19"
"2412","8 pm","0.0","10.5","298","16.8","58.1","65.7","17","14","40","25.68","0.00",13,"04","19"
"2512","9 pm","0.0","8.6","297","14.2","57.6","65.8","21","18","40","25.69","0.00",13,"04","19"
"2612","10 pm","0.0","7.9","284","12.5","57.3","65.7","22","19","40","25.69","0.00",13,"04","19"
"2712","11 pm","0.0","4.6","272","10.1","57.3","65.4","23","20","41","25.69","0.00",13,"04","19"
"2812","12 am","0.0","2.6","278","5.3","52.9","65.1","27","20","39","25.69","0.00",13,"04","19"
"513","1 am","0.0","3.2","269","7.7","52.2","64.6","29","21","39","25.68","0.00",14,"04","19"
"613","2 am","0.0","6.6","309","13.7","55.9","64.2","31","26","42","25.67","0.00",14,"04","19"
"713","3 am","0.0","6.4","290","10.7","54.5","63.7","33","26","41","25.67","0.00",14,"04","19"
"813","4 am","0.0","10.2","322","17.3","55.9","63.1","32","26","42","25.66","0.00",14,"04","19"
"913","5 am","0.0","8.6","322","17.9","56.0","62.7","32","26","42","25.66","0.00",14,"04","19"
"1013","6 am","2.8","3.2","281","6.8","53.7","62.3","33","25","41","25.67","0.00",14,"04","19"
"1113","7 am","19.4","1.4","219","3.7","60.5","61.7","27","26","44","25.68","0.00",14,"04","19"
"1213","8 am","37.9","1.9","162","5.5","63.0","61.4","24","26","45","25.68","0.00",14,"04","19"
"1313","9 am","52.1","2.4","198","8.5","64.4","61.0","22","25","45","25.68","0.00",14,"04","19"
"1413","10 am","60.1","3.5","200","11.0","65.4","60.8","20","24","45","25.68","0.00",14,"04","19"
"1513","11 am","73.8","3.8","179","14.4","66.5","60.7","19","23","46","25.68","0.00",14,"04","19"
"1613","12 pm","80.0","4.3","208","12.9","67.4","60.9","17","22","46","25.66","0.00",14,"04","19"
"1713","1 pm","67.5","4.9","216","14.0","67.6","61.4","16","19","45","25.65","0.00",14,"04","19"
"1813","2 pm","63.5","6.0","221","16.1","68.5","62.3","15","19","46","25.63","0.00",14,"04","19"
"1913","3 pm","59.5","5.5","204","17.2","70.0","63.3","15","20","47","25.60","0.00",14,"04","19"
"2013","4 pm","37.0","5.2","205","16.7","69.7","64.4","15","19","46","25.59","0.00",14,"04","19"
"2113","5 pm","20.1","4.0","169","15.8","68.9","65.4","15","19","46","25.57","0.00",14,"04","19"
"2213","6 pm","5.9","4.0","129","10.8","66.9","66.3","15","18","45","25.56","0.00",14,"04","19"
"2313","7 pm","0.2","2.9","98","10.7","63.1","67.0","20","22","44","25.56","0.00",14,"04","19"
"2413","8 pm","0.0","1.4","299","8.0","61.1","67.3","22","22","43","25.57","0.00",14,"04","19"
"2513","9 pm","0.0","2.2","280","4.8","58.1","67.4","27","24","42","25.58","0.00",14,"04","19"
"2613","10 pm","0.0","2.4","271","7.9","56.9","67.2","29","25","42","25.57","0.00",14,"04","19"
"2713","11 pm","0.0","6.5","278","13.2","58.1","66.9","32","28","44","25.57","0.00",14,"04","19"
"2813","12 am","0.0","9.7","299","16.7","58.9","66.5","30","28","44","25.57","0.00",14,"04","19"
"514","1 am","0.0","8.2","285","16.8","58.9","66.0","28","26","43","25.56","0.00",15,"04","19"
"614","2 am","0.0","6.8","286","13.9","58.0","65.6","29","26","43","25.55","0.00",15,"04","19"
"714","3 am","0.0","6.9","286","11.9","57.0","65.2","29","25","42","25.53","0.00",15,"04","19"
"814","4 am","0.0","5.2","284","11.4","57.3","64.7","30","26","42","25.53","0.00",15,"04","19"
"914","5 am","0.0","5.2","301","10.0","57.4","64.3","31","27","43","25.53","0.00",15,"04","19"
"1014","6 am","1.4","2.9","276","6.4","55.0","64.0","34","27","42","25.53","0.00",15,"04","19"
"1114","7 am","16.1","2.5","275","4.5","57.9","63.5","33","29","44","25.54","0.00",15,"04","19"
"1214","8 am","39.0","2.7","181","9.4","64.4","63.1","26","29","47","25.55","0.00",15,"04","19"
"1314","9 am","43.9","4.3","222","9.8","64.0","62.8","26","29","46","25.56","0.00",15,"04","19"
"1414","10 am","55.8","5.4","209","12.5","64.1","62.5","25","28","46","25.56","0.00",15,"04","19"
"1514","11 am","74.4","4.8","203","15.0","66.0","62.4","21","25","46","25.56","0.00",15,"04","19"
"1614","12 pm","77.7","4.3","198","13.2","67.5","62.6","18","23","46","25.55","0.00",15,"04","19"
"1714","1 pm","73.1","5.5","186","17.5","67.1","63.0","18","22","46","25.54","0.00",15,"04","19"
"1814","2 pm","56.8","5.0","201","18.2","67.4","63.8","18","22","46","25.53","0.00",15,"04","19"
"1914","3 pm","37.7","4.9","206","16.0","67.5","64.8","18","23","46","25.51","0.00",15,"04","19"
"2014","4 pm","24.4","7.5","117","20.0","66.3","65.8","20","24","46","25.50","0.00",15,"04","19"
"2114","5 pm","12.3","6.2","117","16.2","64.9","66.6","20","23","45","25.50","0.00",15,"04","19"
"2214","6 pm","3.5","6.2","117","11.1","62.3","67.3","20","21","43","25.50","0.00",15,"04","19"
"2314","7 pm","0.2","2.4","101","5.8","60.4","67.7","19","18","42","25.49","0.00",15,"04","19"
"2414","8 pm","0.0","1.3","90","3.9","58.4","67.9","21","19","41","25.51","0.00",15,"04","19"
"2514","9 pm","0.0","2.9","333","9.7","56.3","67.9","28","24","41","25.52","0.00",15,"04","19"
"2614","10 pm","0.0","9.9","320","18.9","57.6","67.6","32","28","43","25.52","0.00",15,"04","19"
"2714","11 pm","0.0","14.8","321","26.6","56.1","67.3","36","29","43","25.52","0.00",15,"04","19"
"2814","12 am","0.0","17.9","315","28.3","54.8","66.9","40","31","43","25.52","0.00",15,"04","19"
"515","1 am","0.0","17.6","319","27.4","55.0","66.4","39","30","43","25.51","0.00",16,"04","19"
"615","2 am","0.0","19.3","309","33.3","52.6","66.0","42","30","42","25.50","0.00",16,"04","19"
"715","3 am","0.0","14.9","310","28.6","54.7","65.5","38","30","42","25.50","0.00",16,"04","19"
"815","4 am","0.0","18.3","309","32.9","50.5","65.1","43","29","40","25.50","0.00",16,"04","19"
"915","5 am","0.0","19.7","307","32.7","48.9","64.8","58","35","42","25.52","0.02",16,"04","19"
"1015","6 am","0.7","11.8","282","25.4","49.7","64.4","64","38","44","25.53","0.03",16,"04","19"
"1115","7 am","6.2","9.0","271","19.4","50.5","64.0","58","36","43","25.54","0.01",16,"04","19"
"1215","8 am","21.9","10.2","267","23.2","51.9","63.5","53","35","43","25.55","0.00",16,"04","19"
"1315","9 am","30.8","10.4","273","23.2","52.4","63.1","53","36","44","25.56","0.00",16,"04","19"
"1415","10 am","62.4","9.2","275","19.1","54.8","62.7","49","36","45","25.57","0.00",16,"04","19"
"1515","11 am","81.0","8.9","269","19.9","57.4","62.4","43","35","46","25.58","0.00",16,"04","19"
"1615","12 pm","86.2","7.3","250","24.0","60.1","62.4","37","34","46","25.57","0.00",16,"04","19"
"1715","1 pm","73.0","8.9","271","24.3","60.3","62.6","35","33","46","25.56","0.00",16,"04","19"
"1815","2 pm","64.2","9.9","267","22.7","60.7","63.2","33","32","46","25.55","0.00",16,"04","19"
"1915","3 pm","55.8","10.5","292","20.7","61.6","64.0","31","31","46","25.54","0.00",16,"04","19"
"2015","4 pm","21.8","9.4","304","19.1","59.0","64.9","36","32","45","25.54","0.01",16,"04","19"
"2115","5 pm","17.8","11.3","291","29.2","56.1","65.7","46","36","45","25.55","0.00",16,"04","19"
"2215","6 pm","2.8","9.7","315","22.7","51.8","66.3","61","38","45","25.58","0.04",16,"04","19"
"2315","7 pm","0.0","10.3","273","27.6","47.9","66.7","71","39","43","25.60","0.10",16,"04","19"
"2415","8 pm","0.0","7.9","281","26.1","48.4","66.6","66","38","43","25.62","0.00",16,"04","19"
"2515","9 pm","0.0","8.4","287","31.7","49.3","66.3","60","36","42","25.64","0.00",16,"04","19"
"2615","10 pm","0.0","10.0","286","33.3","49.9","65.8","58","36","43","25.64","0.00",16,"04","19"
"2715","11 pm","0.0","5.9","256","27.0","50.1","65.2","57","36","43","25.67","0.00",16,"04","19"
"2815","12 am","0.0","8.3","284","28.1","50.1","64.5","56","35","43","25.68","0.00",16,"04","19"
"516","1 am","0.0","6.4","330","26.6","50.1","63.9","56","35","42","25.69","0.00",17,"04","19"
"616","2 am","0.0","7.8","274","27.1","49.9","63.2","57","35","42","25.69","0.00",17,"04","19"
"716","3 am","0.0","7.7","143","27.9","49.4","62.6","56","34","42","25.68","0.00",17,"04","19"
"816","4 am","0.0","7.6","163","23.8","49.0","62.0","56","34","41","25.70","0.00",17,"04","19"
"916","5 am","0.0","10.8","295","32.7","48.5","61.5","55","33","41","25.72","0.00",17,"04","19"
"1016","6 am","3.3","5.8","338","20.3","48.3","60.9","54","32","40","25.75","0.00",17,"04","19"
"1116","7 am","21.0","8.2","315","27.2","50.3","60.3","48","32","41","25.78","0.00",17,"04","19"
"1216","8 am","39.4","8.2","89","20.1","53.1","59.8","42","31","42","25.79","0.00",17,"04","19"
"1316","9 am","56.3","9.1","70","21.1","54.8","59.4","40","31","43","25.80","0.00",17,"04","19"
"1416","10 am","69.7","9.5","76","23.6","56.6","59.1","37","30","44","25.81","0.00",17,"04","19"
"1516","11 am","78.2","7.0","6","21.4","58.4","58.9","34","30","44","25.83","0.00",17,"04","19"
"1616","12 pm","81.6","7.3","287","27.7","59.9","59.2","30","28","44","25.82","0.00",17,"04","19"
"1716","1 pm","79.9","7.2","259","16.8","62.7","59.7","26","27","45","25.81","0.00",17,"04","19"
"1816","2 pm","73.9","7.1","273","23.9","64.6","60.6","23","26","46","25.81","0.00",17,"04","19"
"1916","3 pm","62.3","6.8","242","25.9","66.1","61.8","21","25","46","25.80","0.00",17,"04","19"
"2016","4 pm","47.1","8.0","274","22.7","67.1","63.0","19","23","46","25.79","0.00",17,"04","19"
"2116","5 pm","28.9","5.4","259","16.9","66.5","64.2","18","22","45","25.79","0.00",17,"04","19"
"2216","6 pm","5.7","6.0","239","21.3","64.5","65.2","18","20","44","25.80","0.00",17,"04","19"
"2316","7 pm","0.3","11.9","285","31.0","63.0","65.9","17","18","43","25.80","0.00",17,"04","19"
"2416","8 pm","0.0","12.8","303","31.5","62.8","66.2","17","17","43","25.81","0.00",17,"04","19"
"2516","9 pm","0.0","14.2","321","23.5","62.5","66.2","17","18","43","25.83","0.00",17,"04","19"
"2616","10 pm","0.0","12.8","320","23.2","62.1","66.0","18","18","43","25.83","0.00",17,"04","19"
"2716","11 pm","0.0","11.7","315","20.2","61.6","65.6","19","19","43","25.85","0.00",17,"04","19"
"2816","12 am","0.0","12.4","317","20.7","61.9","65.2","19","19","43","25.85","0.00",17,"04","19"
"517","1 am","0.0","12.2","309","19.6","62.0","64.8","19","19","43","25.84","0.00",18,"04","19"
"617","2 am","0.0","11.2","309","22.9","62.0","64.3","19","19","43","25.83","0.00",18,"04","19"
"717","3 am","0.0","9.4","306","18.8","61.9","63.9","21","22","43","25.83","0.00",18,"04","19"
"817","4 am","0.0","10.5","305","21.7","61.0","63.5","23","23","43","25.84","0.00",18,"04","19"
"917","5 am","0.0","11.7","317","21.8","60.6","63.1","25","25","44","25.85","0.00",18,"04","19"
"1017","6 am","3.4","14.7","325","26.9","60.9","62.7","26","26","44","25.87","0.00",18,"04","19"
"1117","7 am","21.4","14.8","318","32.0","62.8","62.3","25","27","45","25.88","0.00",18,"04","19"
"1217","8 am","40.0","13.6","317","26.2","65.0","62.0","25","28","47","25.89","0.00",18,"04","19"
"1317","9 am","57.0","11.8","308","23.3","67.1","61.7","23","28","48","25.89","0.00",18,"04","19"
"1417","10 am","70.7","12.3","311","24.2","68.7","61.5","22","28","48","25.90","0.00",18,"04","19"
"1517","11 am","79.3","6.9","317","18.3","71.4","61.5","19","27","49","25.91","0.00",18,"04","19"
"1617","12 pm","82.8","4.7","78","13.1","74.0","61.9","17","26","50","25.89","0.00",18,"04","19"
"1717","1 pm","80.1","6.4","113","20.4","76.0","62.6","14","23","50","25.87","0.00",18,"04","19"
"1817","2 pm","74.6","9.6","113","16.8","77.3","63.7","12","20","50","25.86","0.00",18,"04","19"
"1917","3 pm","59.8","7.7","112","19.0","77.8","65.1","11","19","50","25.84","0.00",18,"04","19"
"2017","4 pm","46.4","5.7","106","15.5","78.0","66.6","11","18","50","25.83","0.00",18,"04","19"
"2117","5 pm","30.4","4.6","108","12.3","77.1","67.9","11","18","49","25.82","0.00",18,"04","19"
"2217","6 pm","8.4","5.3","106","11.2","73.4","69.0","12","18","48","25.81","0.00",18,"04","19"
"2317","7 pm","0.3","2.0","89","8.1","68.7","69.9","14","18","46","25.81","0.00",18,"04","19"
"2417","8 pm","0.0","2.9","20","6.7","66.2","70.3","18","21","45","25.83","0.00",18,"04","19"
"2517","9 pm","0.0","3.8","13","6.8","63.4","70.3","20","22","44","25.83","0.00",18,"04","19"
"2617","10 pm","0.0","2.7","338","5.8","60.4","70.1","24","23","43","25.83","0.00",18,"04","19"
"2717","11 pm","0.0","3.2","293","7.0","58.9","69.7","26","24","43","25.82","0.00",18,"04","19"
"2817","12 am","0.0","3.3","293","6.3","60.0","69.2","25","24","43","25.81","0.00",18,"04","19"
"518","1 am","0.0","4.1","285","6.1","56.7","68.6","30","26","42","25.81","0.00",19,"04","19"
"618","2 am","0.0","4.3","283","6.2","56.7","68.0","29","25","42","25.79","0.00",19,"04","19"
"718","3 am","0.0","4.2","282","6.1","55.9","67.4","29","24","41","25.77","0.00",19,"04","19"
"818","4 am","0.0","4.4","348","9.1","59.7","66.8","24","23","43","25.76","0.00",19,"04","19"
"918","5 am","0.0","5.1","28","8.3","63.3","66.1","17","17","43","25.76","0.00",19,"04","19"
"1018","6 am","3.5","3.0","312","6.5","58.4","65.6","23","21","42","25.77","0.00",19,"04","19"
"1118","7 am","22.1","4.3","49","9.5","69.3","64.9","15","20","46","25.77","0.00",19,"04","19"
"1218","8 am","40.8","6.3","94","13.2","72.6","64.4","14","21","48","25.77","0.00",19,"04","19"
"1318","9 am","55.9","6.6","105","12.8","73.8","63.9","14","21","48","25.77","0.00",19,"04","19"
"1418","10 am","69.4","7.2","135","18.2","75.1","63.6","12","19","49","25.77","0.00",19,"04","19"
"1518","11 am","79.8","9.9","119","19.7","76.3","63.5","11","19","49","25.76","0.00",19,"04","19"
"1618","12 pm","84.5","8.8","120","20.0","76.9","63.8","12","20","49","25.74","0.00",19,"04","19"
"1718","1 pm","74.6","7.8","126","22.1","76.8","64.6","11","19","49","25.72","0.00",19,"04","19"
"1818","2 pm","71.7","8.3","116","21.9","77.7","65.7","11","20","50","25.70","0.00",19,"04","19"
"1918","3 pm","51.1","8.8","126","20.5","77.7","67.0","11","19","50","25.67","0.00",19,"04","19"
"2018","4 pm","47.2","6.3","123","16.4","77.9","68.4","9","15","49","25.65","0.00",19,"04","19"
"2118","5 pm","29.6","8.0","122","17.8","76.6","69.6","11","18","49","25.64","0.00",19,"04","19"
"2218","6 pm","3.9","6.3","115","14.0","72.4","70.7","13","19","47","25.62","0.00",19,"04","19"
"2318","7 pm","0.2","3.9","104","6.0","68.5","71.4","15","19","46","25.61","0.00",19,"04","19"
"2418","8 pm","0.0","1.2","250","3.9","65.4","71.8","18","21","45","25.62","0.00",19,"04","19"
"2518","9 pm","0.0","2.7","275","7.2","64.7","71.8","17","19","44","25.62","0.00",19,"04","19"
"2618","10 pm","0.0","2.6","282","5.0","63.7","71.5","23","25","45","25.62","0.00",19,"04","19"
"2718","11 pm","0.0","7.0","281","12.8","65.5","71.1","27","30","47","25.60","0.00",19,"04","19"
"2818","12 am","0.0","8.5","302","16.5","66.9","70.6","23","28","47","25.60","0.00",19,"04","19"
"519","1 am","0.0","7.9","279","13.9","64.7","70.1","26","29","47","25.58","0.00",20,"04","19"
"619","2 am","0.0","8.6","280","15.6","63.2","69.5","28","30","46","25.56","0.00",20,"04","19"
"719","3 am","0.0","9.2","302","17.5","63.5","69.0","26","28","46","25.55","0.00",20,"04","19"
"819","4 am","0.0","13.7","311","24.4","62.2","68.5","27","28","45","25.54","0.00",20,"04","19"
"919","5 am","0.0","17.4","311","25.8","61.3","68.1","25","25","44","25.54","0.00",20,"04","19"
"1019","6 am","2.7","16.9","312","24.3","60.7","67.7","22","22","43","25.55","0.00",20,"04","19"
"1119","7 am","21.9","18.3","310","27.2","62.2","67.2","23","24","44","25.56","0.00",20,"04","19"
"1219","8 am","40.8","14.7","307","24.9","65.4","66.8","24","27","47","25.57","0.00",20,"04","19"
"1319","9 am","57.3","12.2","306","20.5","67.8","66.4","24","29","48","25.57","0.00",20,"04","19"
"1419","10 am","70.4","8.8","310","15.5","71.0","66.2","21","29","49","25.58","0.00",20,"04","19"
"1519","11 am","79.3","6.3","19","14.9","73.8","66.0","17","27","50","25.58","0.00",20,"04","19"
"1619","12 pm","82.9","8.2","263","22.3","74.9","66.3","15","24","50","25.57","0.00",20,"04","19"
"1719","1 pm","80.2","8.3","258","20.2","74.5","66.9","16","25","50","25.57","0.00",20,"04","19"
"1819","2 pm","71.3","7.3","235","20.9","75.9","67.8","14","23","50","25.56","0.00",20,"04","19"
"1919","3 pm","60.9","6.9","229","21.3","76.1","69.0","13","22","49","25.54","0.00",20,"04","19"
"2019","4 pm","44.3","6.3","225","22.4","76.6","70.2","11","18","49","25.52","0.00",20,"04","19"
"2119","5 pm","20.7","12.5","275","27.2","73.3","71.4","13","19","48","25.52","0.00",20,"04","19"
"2219","6 pm","5.2","17.0","297","28.3","68.4","72.4","22","29","48","25.52","0.00",20,"04","19"
"2319","7 pm","0.4","21.0","299","31.3","65.2","73.0","27","30","47","25.52","0.00",20,"04","19"
"2419","8 pm","0.0","19.3","301","31.5","62.7","73.3","27","28","46","25.53","0.00",20,"04","19"
"2519","9 pm","0.0","25.4","304","40.5","59.5","73.3","34","31","45","25.54","0.00",20,"04","19"
"2619","10 pm","0.0","22.3","306","35.0","58.4","73.0","36","31","45","25.56","0.00",20,"04","19"
"2719","11 pm","0.0","22.1","306","34.5","58.0","72.6","34","30","44","25.55","0.00",20,"04","19"
"2819","12 am","0.0","13.2","293","37.2","56.7","72.0","34","29","43","25.55","0.00",20,"04","19"
"520","1 am","0.0","12.4","291","36.7","54.0","71.5","49","35","44","25.55","0.00",21,"04","19"
"620","2 am","0.0","21.3","304","40.1","53.0","70.9","52","36","44","25.52","0.00",21,"04","19"
"720","3 am","0.0","14.3","320","34.3","52.7","70.2","50","35","43","25.54","0.00",21,"04","19"
"820","4 am","0.0","17.3","313","35.1","51.5","69.7","53","35","43","25.54","0.00",21,"04","19"
"920","5 am","0.0","19.6","320","32.2","49.7","69.0","62","37","43","25.55","0.00",21,"04","19"
"1020","6 am","3.7","23.5","326","39.7","47.8","68.4","68","38","43","25.56","0.00",21,"04","19"
"1120","7 am","22.2","26.7","313","37.5","50.4","67.8","55","35","42","25.57","0.00",21,"04","19"
"1220","8 am","40.8","22.6","311","37.8","53.4","67.2","46","33","43","25.58","0.00",21,"04","19"
"1320","9 am","57.3","16.5","309","26.6","57.5","66.6","40","33","45","25.59","0.00",21,"04","19"
"1420","10 am","70.4","14.7","310","24.3","60.5","66.2","35","33","46","25.61","0.00",21,"04","19"
"1520","11 am","79.0","13.2","317","23.1","61.9","66.0","34","33","47","25.62","0.00",21,"04","19"
"1620","12 pm","82.5","10.8","319","21.7","62.8","66.0","36","35","48","25.63","0.00",21,"04","19"
"1720","1 pm","80.8","8.8","319","18.3","65.2","66.4","32","34","49","25.62","0.00",21,"04","19"
"1820","2 pm","74.8","7.5","334","17.4","65.9","67.2","30","34","49","25.61","0.00",21,"04","19"
"1920","3 pm","63.2","6.2","356","14.6","67.0","68.3","29","33","49","25.60","0.00",21,"04","19"
"2020","4 pm","47.8","7.7","282","24.7","66.6","69.5","27","32","48","25.59","0.00",21,"04","19"
"2120","5 pm","29.8","8.1","294","20.5","66.0","70.6","28","32","48","25.59","0.00",21,"04","19"
"2220","6 pm","6.4","7.4","253","23.0","63.8","71.6","27","29","46","25.59","0.00",21,"04","19"
"2320","7 pm","0.3","10.0","285","23.4","62.5","72.3","25","26","45","25.59","0.00",21,"04","19"
"2420","8 pm","0.0","7.0","298","23.0","62.1","72.6","24","25","44","25.61","0.00",21,"04","19"
"2520","9 pm","0.0","4.6","130","15.3","61.7","72.6","23","24","44","25.62","0.00",21,"04","19"
"2620","10 pm","0.0","8.7","313","31.3","59.8","72.3","28","27","44","25.64","0.00",21,"04","19"
"2720","11 pm","0.0","13.8","310","28.9","58.0","71.9","31","28","43","25.64","0.00",21,"04","19"
"2820","12 am","0.0","8.4","324","24.9","58.2","71.4","30","27","43","25.65","0.00",21,"04","19"
"521","1 am","0.0","7.3","318","21.9","57.3","70.9","32","27","43","25.65","0.00",22,"04","19"
"621","2 am","0.0","9.9","321","25.2","56.1","70.3","33","27","42","25.64","0.00",22,"04","19"
"721","3 am","0.0","12.9","314","28.0","54.6","69.8","36","28","42","25.64","0.00",22,"04","19"
"821","4 am","0.0","13.9","317","29.7","54.1","69.2","37","29","42","25.64","0.00",22,"04","19"
"921","5 am","0.0","10.9","313","23.7","53.5","68.7","40","30","42","25.65","0.00",22,"04","19"
"1021","6 am","3.8","14.3","318","29.5","53.5","68.2","40","30","42","25.66","0.00",22,"04","19"
"1121","7 am","22.3","11.4","312","26.0","54.9","67.6","39","30","43","25.67","0.00",22,"04","19"
"1221","8 am","39.4","6.5","279","25.0","57.6","67.0","35","30","44","25.69","0.00",22,"04","19"
"1321","9 am","57.2","6.7","291","17.0","58.8","66.6","34","31","45","25.70","0.00",22,"04","19"
"1421","10 am","70.4","6.6","316","19.6","60.4","66.3","33","31","45","25.71","0.00",22,"04","19"
"1521","11 am","78.8","9.0","315","23.5","61.9","66.1","31","31","46","25.70","0.00",22,"04","19"
"1621","12 pm","82.4","10.2","285","25.7","63.1","66.2","30","31","47","25.69","0.00",22,"04","19"
"1721","1 pm","76.5","9.7","289","26.2","65.1","66.6","28","31","47","25.69","0.00",22,"04","19"
"1821","2 pm","37.8","9.5","290","25.0","63.4","67.4","30","31","47","25.68","0.00",22,"04","19"
"1921","3 pm","37.6","8.4","277","26.7","63.2","68.4","29","31","47","25.67","0.00",22,"04","19"
"2021","4 pm","31.9","7.9","279","28.1","64.9","69.4","27","30","47","25.66","0.00",22,"04","19"
"2121","5 pm","9.6","11.6","286","29.6","62.0","70.3","31","31","46","25.66","0.00",22,"04","19"
"2221","6 pm","7.6","5.9","265","25.3","61.9","70.8","31","31","46","25.66","0.00",22,"04","19"
"2321","7 pm","0.3","4.5","101","15.2","61.5","71.2","30","30","46","25.66","0.00",22,"04","19"
"2421","8 pm","0.0","5.2","291","16.2","61.9","71.2","29","29","45","25.68","0.00",22,"04","19"
"2521","9 pm","0.0","5.6","354","19.2","61.9","71.1","28","28","45","25.69","0.00",22,"04","19"
"2621","10 pm","0.0","3.7","19","12.4","61.3","70.8","29","29","45","25.69","0.00",22,"04","19"
"2721","11 pm","0.0","3.8","318","17.8","61.2","70.4","29","29","45","25.70","0.00",22,"04","19"
"2821","12 am","0.0","6.2","296","20.7","61.2","69.9","29","29","45","25.69","0.00",22,"04","19"
"522","1 am","0.0","8.7","308","25.4","61.2","69.5","29","29","45","25.69","0.00",23,"04","19"
