unique_bird,bird_id,date,season,walk,start_time,end_time,lat,lon,order,family,species,migratory_class,trophic_guild,behavior,broad_behavior,mesohabitat,two.mesohabitat,three.mesohabitat,five.mesohabitat,mesohabitat_height,photo_id,time,distance,transect,transect_start_lat,transect_start_lon,transect_end_lat,transect_end_lon,notes
244flower,244,5/2/2019,spring,7,14:30,16:30,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying,Active movement,air,non vegetation,other,air,na,no photo,14:42,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
245flower,245,5/2/2019,spring,7,14:30,16:30,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,14:49,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
246flower,246,5/2/2019,spring,7,14:30,16:30,34.78173,-115.66222,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying,Active movement,air,non vegetation,other,air,na,no photo,14:51,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
363flower,363,5/3/2019,spring,10,16:30,18:30,34.78173,-115.66363,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Copulating,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,17:20,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
248flower,248,5/2/2019,spring,7,14:30,16:30,34.78153,-115.66277,Passeriformes,Troglodytidae,Rock Wren,,insectivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,575.594,15:00,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
250flower,250,5/2/2019,spring,7,14:30,16:30,,,Columbiformes,Columbidae,Mourning Dove,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,15:01,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
251flower,251,5/2/2019,spring,7,14:30,16:30,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,15:06,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
252flower,252,5/2/2019,spring,7,14:30,16:30,34.78026,-115.66292,Unknown,Unknown,Unknown,,Unknown,Flying between plants,Active movement,cactus canopy,vegetation,cactus,cactus,na,595.599,15:17,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
253flower,253,5/2/2019,spring,7,14:30,16:30,34.78027,-115.66291,Apodiformes,Trochilidae,Unknown Hummingbird,,nectarivore,Flying,Active movement,air,non vegetation,other,air,na,no photo,15:19,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
254flower,254,5/2/2019,spring,7,14:30,16:30,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,15:34,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
255flower,255,5/2/2019,spring,7,14:30,16:30,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,15:34,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
364flower,364,5/3/2019,spring,10,16:30,18:30,34.78173,-115.66363,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Copulating,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,17:20,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
257flower,257,5/2/2019,spring,7,14:30,16:30,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,15:44,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
258flower,258,5/2/2019,spring,7,14:30,16:30,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,16:17,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
259flower,259,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:15,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
260flower,260,5/3/2019,spring,8,6:15,8:15,,,Columbiformes,Columbidae,Mourning Dove,,granivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,6:16,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
261flower,261,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Fringillidae,House Finch,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:16,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
262flower,262,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:16,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
263flower,263,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:20,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
264flower,264,5/3/2019,spring,8,6:15,8:15,34.78293,-115.66306,Passeriformes,Fringillidae,House Finch,,frugivore,Flying,Active movement,rock,non vegetation,other,land,na,4-Jan,6:18,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
265flower,265,5/3/2019,spring,8,6:15,8:15,34.78293,-115.66306,Passeriformes,Fringillidae,House Finch,,frugivore,Flying,Active movement,rock,non vegetation,other,land,na,4-Jan,6:18,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
266flower,266,5/3/2019,spring,8,6:15,8:15,34.78297,-115.66343,Apodiformes,Apodidae,White.throated Swift,,insectivore,Flying,Active movement,air,non vegetation,other,air,na,7-May,6:27,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
267flower,267,5/3/2019,spring,8,6:15,8:15,34.78297,-115.66343,Apodiformes,Apodidae,White.throated Swift,,insectivore,Flying,Active movement,air,non vegetation,other,air,na,7-May,6:27,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
268flower,268,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:32,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
756flower,756,5/8/2019,spring,22,11:55,1:55,34.77975,-115.66363,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Flying between plants,Active movement,shrub,vegetation,shrub,shrub,na,no photo,12:18,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
757flower,757,5/8/2019,spring,22,11:55,1:55,34.77975,-115.66363,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Flying between plants,Active movement,shrub,vegetation,shrub,shrub,na,no photo,12:18,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
758flower,758,5/8/2019,spring,22,11:55,1:55,34.77975,-115.66363,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Flying between plants,Active movement,shrub,vegetation,shrub,shrub,na,no photo,12:18,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
272flower,272,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Troglodytidae,Canyon Wren,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:37,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
273flower,273,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,6:44,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
274flower,274,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,6:44,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
275flower,275,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:47,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
276flower,276,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:47,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
277flower,277,5/3/2019,spring,8,6:15,8:15,,,Columbiformes,Columbidae,Mourning Dove,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:47,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
278flower,278,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Fringillidae,House Finch,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:47,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
279flower,279,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Fringillidae,House Finch,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:47,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
280flower,280,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:49,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
281flower,281,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,6:49,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
282flower,282,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Troglodytidae,Rock Wren,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:49,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
759flower,759,5/8/2019,spring,22,11:55,1:55,34.77975,-115.66363,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Flying between plants,Active movement,shrub,vegetation,shrub,shrub,na,no photo,12:18,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
284flower,284,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:53,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
285flower,285,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:53,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
286flower,286,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:53,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
287flower,287,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,6:57,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
288flower,288,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:58,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
289flower,289,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:58,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
290flower,290,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,6:58,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
425flower,425,5/4/2019,spring,12,8:15,10:15,34.78136,-115.66362,Passeriformes,Tyrannidae,Say's Phoebe,,insectivore,Singing,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,104.116,9:03,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
763flower,763,5/8/2019,spring,22,11:55,1:55,34.7812,-115.66362,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Preening,Cleaning,shrub,vegetation,shrub,shrub,na,141.144,12:40,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
764flower,764,5/8/2019,spring,22,11:55,1:55,34.7812,-115.66362,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying on plant,Active movement,shrub,vegetation,shrub,shrub,na,no photo,12:40,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
765flower,765,5/8/2019,spring,22,11:55,1:55,34.7812,-115.66362,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying on plant,Active movement,shrub,vegetation,shrub,shrub,na,no photo,12:40,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
18fruit,18,8/15/2019,summer,28,9:00,11:00,34.78251,-115.66361,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,100,162-165,9:10,2,2,34.78303,-115.66309,34.77856,-115.66449,no notes
293flower,293,5/3/2019,spring,8,6:15,8:15,34.78117,-115.66361,Passeriformes,Parulidae,MacGillivray's Warbler,,insectivore,Flying on plant,Active movement,shrub,vegetation,shrub,shrub,na,25-Nov,7:18,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
474flower,474,5/5/2019,spring,14,18:05,20:05,34.78201,-115.6636,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Singing,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,19:05,2,2,34.78303,-115.66309,34.77863,-115.66402,no notes
67flower,67,5/1/2019,spring,2,14:31,16:31,34.78174,-115.6636,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying,Active movement,shrub,vegetation,shrub,shrub,na,no photo,16:03,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
216fruit,216,8/21/2019,summer,40,6:00,8:00,34.78157,-115.6636,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Flying between plants,Active movement,shrub,vegetation,shrub,shrub,50,no photo,6:36,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
707flower,707,5/7/2019,spring,20,12:20,14:20,34.78138,-115.6636,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Singing,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,13:29,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
301flower,301,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,7:47,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
302flower,302,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,7:47,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
433flower,433,5/4/2019,spring,12,8:15,10:15,34.78135,-115.6636,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,9:35,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
304flower,304,5/3/2019,spring,8,6:15,8:15,,,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,7:54,3,2,34.78303,-115.66309,34.77863,-115.66402,no notes
434flower,434,5/4/2019,spring,12,8:15,10:15,34.78135,-115.6636,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,9:35,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
435flower,435,5/4/2019,spring,12,8:15,10:15,34.78135,-115.6636,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,9:35,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
365flower,365,5/3/2019,spring,10,16:30,18:30,34.78123,-115.6636,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,17:29,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
46flower,46,5/1/2019,spring,2,14:31,16:31,34.7822,-115.66359,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying on plant,Active movement,shrub,vegetation,shrub,shrub,na,no photo,14:45,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
260fruit,260,8/22/2019,summer,43,18:00,20:00,34.78184,-115.66358,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Flying on plant,Active movement,shrub,vegetation,shrub,shrub,25,no photo,18:29,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
310flower,310,5/3/2019,spring,9,8:20,10:20,,,Columbiformes,Columbidae,Mourning Dove,,granivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,8:27,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
311flower,311,5/3/2019,spring,9,8:20,10:20,34.78019,-115.66294,Apodiformes,Trochilidae,Unknown Hummingbird,,nectarivore,Flying,Active movement,air,non vegetation,other,air,na,no photo,8:37,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
312flower,312,5/3/2019,spring,9,8:20,10:20,,,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,8:38,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
313flower,313,5/3/2019,spring,9,8:20,10:20,,,Passeriformes,Troglodytidae,Canyon Wren,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,8:42,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
314flower,314,5/3/2019,spring,9,8:20,10:20,34.78057,-115.66298,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Singing,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,67,8:45,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
315flower,315,5/3/2019,spring,9,8:20,10:20,34.78067,-115.66293,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,68.7,8:45,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
316flower,316,5/3/2019,spring,9,8:20,10:20,34.78067,-115.66293,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,71.74,8:46,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
807flower,807,5/9/2019,spring,24,14:00,16:00,34.78134,-115.66358,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,12-Jul,14:32,1,2,34.78303,-115.66309,34.77863,-115.66402,Rattlesnake in way coordinates about 5 meters east of actual location
318flower,318,5/3/2019,spring,9,8:20,10:20,34.78061,-115.6628,Galliformes,Odontiphoridae,Gambel's Quail,,herbivore,Singing,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,79.89,8:55,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
319flower,319,5/3/2019,spring,9,8:20,10:20,34.78045,-115.66286,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Singing,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,no photo,8:55,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
320flower,320,5/3/2019,spring,9,8:20,10:20,34.78104,-115.66248,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Flying,Active movement,cactus canopy,vegetation,cactus,cactus,na,no photo,9:05,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
321flower,321,5/3/2019,spring,9,8:20,10:20,34.78104,-115.66243,Columbiformes,Columbidae,Mourning Dove,,granivore,Calling,Territorial or mating behavior,air,non vegetation,other,air,na,no photo,9:11,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
322flower,322,5/3/2019,spring,9,8:20,10:20,34.78104,-115.66243,Columbiformes,Columbidae,Mourning Dove,,granivore,Calling,Territorial or mating behavior,air,non vegetation,other,air,na,no photo,9:11,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
333flower,333,5/3/2019,spring,9,8:20,10:20,,,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,9:22,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
334flower,334,5/3/2019,spring,9,8:20,10:20,34.78173,-115.66247,Passeriformes,Troglodytidae,Rock Wren,,insectivore,Flying,Active movement,air,non vegetation,other,air,na,no photo,9:24,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
335flower,335,5/3/2019,spring,9,8:20,10:20,34.78175,-115.66249,Passeriformes,Mimidae,Northern Mockingbird,,omnivore,Carrying nest materials,Territorial or mating behavior,rock,non vegetation,other,land,na,93.95,9:28,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
336flower,336,5/3/2019,spring,9,8:20,10:20,34.78173,-115.66251,Passeriformes,Troglodytidae,Rock Wren,,insectivore,Singing,Territorial or mating behavior,rock,non vegetation,other,land,na,no photo,9:36,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
808flower,808,5/9/2019,spring,24,14:00,16:00,34.78134,-115.66358,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,12-Jul,14:32,1,2,34.78303,-115.66309,34.77863,-115.66402,Rattlesnake in way coordinates about 5 meters east of actual location
338flower,338,5/3/2019,spring,9,8:20,10:20,34.78166,-115.66257,Passeriformes,Troglodytidae,Rock Wren,,insectivore,Carrying nest materials,Territorial or mating behavior,rock,non vegetation,other,land,na,no photo,9:52,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
342fruit,342,8/24/2019,summer,47,17:00,19:00,34.78249,-115.66357,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying on plant,Active movement,shrub,vegetation,shrub,shrub,25,no photo,18:01,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
341fruit,341,8/24/2019,summer,47,17:00,19:00,34.78238,-115.66357,Galliformes,Odontiphoridae,Gambel's Quail,,herbivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,50,no photo,17:55,1,2,34.78303,-115.66309,34.77856,-115.66449,no notes
341flower,341,5/3/2019,spring,9,8:20,10:20,34.78204,-115.66219,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying,Active movement,cactus canopy,vegetation,cactus,cactus,na,no photo,9:56,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
342flower,342,5/3/2019,spring,9,8:20,10:20,,,Passeriformes,Corvidae,Common Raven,,omnivore,Calling,Territorial or mating behavior,no visual,,,,na,no photo,10:01,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
343flower,343,5/3/2019,spring,9,8:20,10:20,34.78242,-115.66232,Apodiformes,Trochilidae,Anna's Hummingbird,,nectarivore,Standing on plant,Inactive,cactus canopy,vegetation,cactus,cactus,na,97.109,10:06,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
143flower,143,5/2/2019,spring,4,6:25,8:25,34.78139,-115.66357,Apodiformes,Trochilidae,Unknown Hummingbird,,nectarivore,Foraging,Feeding,shrub,vegetation,shrub,shrub,na,no photo,7:39,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
806flower,806,5/9/2019,spring,24,14:00,16:00,34.78133,-115.66357,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,6-Apr,14:30,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
431flower,431,5/4/2019,spring,12,8:15,10:15,34.78157,-115.66356,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,9:15,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
432flower,432,5/4/2019,spring,12,8:15,10:15,34.78157,-115.66356,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,shrub,vegetation,shrub,shrub,na,no photo,9:15,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
348flower,348,5/3/2019,spring,10,16:30,18:30,34.78301,-115.66323,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,,insectivore,Carrying nest materials,Territorial or mating behavior,rock,non vegetation,other,land,na,1,16:33,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
45flower,45,5/1/2019,spring,2,14:31,16:31,34.78221,-115.66355,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Flying on plant,Active movement,shrub,vegetation,shrub,shrub,na,no photo,14:45,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
566flower,566,5/6/2019,spring,16,8:20,10:20,34.78178,-115.66355,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Standing on plant,Inactive,shrub,vegetation,shrub,shrub,na,423.424,9:50,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
351flower,351,5/3/2019,spring,10,16:30,18:30,34.78269,-115.66326,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,no photo,16:35,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
352flower,352,5/3/2019,spring,10,16:30,18:30,34.78269,-115.66326,Passeriformes,Passerellidae,Black.throated Sparrow,,granivore,Calling,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,no photo,16:35,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
353flower,353,5/3/2019,spring,10,16:30,18:30,34.78294,-115.66331,Passeriformes,Troglodytidae,Rock Wren,,insectivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,no photo,16:35,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
354flower,354,5/3/2019,spring,10,16:30,18:30,,,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,16:41,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
355flower,355,5/3/2019,spring,10,16:30,18:30,34.78295,-115.6633,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,,insectivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,20-Feb,16:45,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
356flower,356,5/3/2019,spring,10,16:30,18:30,34.78295,-115.6633,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,,insectivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,20-Feb,16:45,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
357flower,357,5/3/2019,spring,10,16:30,18:30,34.78295,-115.6633,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,,insectivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,20-Feb,16:45,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
633flower,633,5/7/2019,spring,18,8:20,10:20,34.78154,-115.66355,Apodiformes,Trochilidae,Costa's Hummingbird,,nectarivore,Foraging,Feeding,shrub,vegetation,shrub,shrub,na,96.135,9:05,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
542flower,542,5/6/2019,spring,16,8:20,10:20,34.78022,-115.66355,Passeriformes,Tyrannidae,Ash.throated Flycatcher,,insectivore,Standing on plant,Inactive,shrub,vegetation,shrub,shrub,na,no photo,8:42,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
